text,label,source
"according to gran , the company has no plans to move all production to russia , although that is where the company is growing .",Neutral,FinancialPhraseBank
"technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .",Neutral,FinancialPhraseBank
"the international electronic industry company elcoteq has laid off tens of employees from its tallinn facility contrary to earlier layoffs the company contracted the ranks of its office workers , the daily postimees reported .",Sadness,FinancialPhraseBank
with the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,Optimism,FinancialPhraseBank
"according to the company 's updated strategy for the years 2009-2012 , basware targets a long-term net sales growth in the range of 20 -40 with an operating profit margin of 10 -20 of net sales .",Optimism,FinancialPhraseBank
financing of aspocomp 's growth aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding hdi printed circuit boards pcbs .,Optimism,FinancialPhraseBank
"for the last quarter of 2010 , componenta 's net sales doubled to eur131m from eur76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of eur7m .",Optimism,FinancialPhraseBank
"in the third quarter of 2010 , net sales increased by 5.2 to eur 205.5 mn , and operating profit by 34.9 to eur 23.5 mn .",Optimism,FinancialPhraseBank
operating profit rose to eur 13.1 mn from eur 8.7 mn in the corresponding period in 2007 representing 7.7 of net sales .,Optimism,FinancialPhraseBank
"operating profit totalled eur 21.1 mn , up from eur 18.6 mn in 2007 , representing 9.7 of net sales .",Optimism,FinancialPhraseBank
teliasonera tlsn said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen eesti telekom 's offering to its customers .,Optimism,FinancialPhraseBank
"stora enso , norske skog , m-real , upm-kymmene credit suisse first boston cfsb raised the fair value for shares in four of the largest nordic forestry groups .",Optimism,FinancialPhraseBank
"a purchase agreement for 7,200 tons of gasoline with delivery at the hamina terminal , finland , was signed with neste oil oyj at the average platts index for this september plus eight us dollars per month .",Optimism,FinancialPhraseBank
"finnish talentum reports its operating profit increased to eur 20.5 mn in 2005 from eur 9.3 mn in 2004 , and net sales totaled eur 103.3 mn , up from eur 96.4 mn .",Optimism,FinancialPhraseBank
"clothing retail chain seppl 's sales increased by 8 to eur 155.2 mn , and operating profit rose to eur 31.1 mn from eur 17.1 mn in 2004 .",Optimism,FinancialPhraseBank
"consolidated net sales increased 16 to reach eur74 .8 m , while operating profit amounted to eur0 .9 m compared to a loss of eur0 .7 m in the prior year period .",Optimism,FinancialPhraseBank
"foundries division reports its sales increased by 9.7 to eur 63.1 mn from eur 57.5 mn in the corresponding period in 2006 , and sales of the machine shop division increased by 16.4 to eur 41.2 mn from eur 35.4 mn in the corresponding period in 2006 .",Optimism,FinancialPhraseBank
"helsinki afx - shares closed higher , led by nokia after it announced plans to team up with sanyo to manufacture 3g handsets , and by nokian tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",Optimism,FinancialPhraseBank
"incap contract manufacturing services pvt ltd , a subsidiary of incap corporation of finland , plans to double its revenues by 2007-2008 .",Optimism,FinancialPhraseBank
"its board of directors will propose a dividend of eur0 .12 per share for 2010 , up from the eur0 .08 per share paid in 2009 .",Optimism,FinancialPhraseBank
"lifetree was founded in 2000 , and its revenues have risen on an average by 40 with margins in late 30s .",Optimism,FinancialPhraseBank
"filippova a trilateral agreement on investment in the construction of a technology park in st petersburg was to have been signed in the course of the forum , days of the russian economy , that opened in helsinki today .",Optimism,FinancialPhraseBank
"megafon 's subscriber base increased 16.1 in 2009 to 50.5 million users as of december 31 , while its market share by the number of customers amounted to 24 as of late 2009 , up from 23 as of late 2008 , according to teliasonera estimates .",Optimism,FinancialPhraseBank
"net income from life insurance doubled to eur 6.8 mn from eur 3.2 mn , and net income from non-life insurance rose to eur 5.2 mn from eur 1.5 mn in the corresponding period in 2009 .",Optimism,FinancialPhraseBank
net sales increased to eur193 .3 m from eur179 .9 m and pretax profit rose by 34.2 to eur43 .1 m. eur1 usd1 .4,Optimism,FinancialPhraseBank
"net sales surged by 18.5 to eur167 .8 m. teleste said that eur20 .4 m , or 12.2 , of the sales came from the acquisitions made in 2009 .",Optimism,FinancialPhraseBank
nordea group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,Optimism,FinancialPhraseBank
"operating profit for the nine-month period increased from eur13 .6 m , while net sales increased from eur394 .7 m , as compared to the corresponding period in 2005 .",Optimism,FinancialPhraseBank
"operating profit for the nine-month period increased from eur3 .1 m and net sales increased from eur61 .5 m , as compared to the corresponding period in 2007 .",Optimism,FinancialPhraseBank
"operating profit for the three-month period increased from eur1 .2 m , while revenue increased from eur20 .2 m , as compared to the corresponding period in 2005 .",Optimism,FinancialPhraseBank
"the brazilian unit of finnish security solutions provider f-secure signed up 1,500 new clients last year , online news source reseller web quoted the division 's commercial director , vladimir brando , as saying .",Optimism,FinancialPhraseBank
"the company 's net profit rose 11.4 on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 up on the year , the company said earlier .",Optimism,FinancialPhraseBank
"the lithuanian beer market made up 14.41 million liters in january , a rise of 0.8 percent from the year-earlier figure , the lithuanian brewers ' association reporting citing the results from its members .",Optimism,FinancialPhraseBank
"viking line 's cargo revenue increased by 5.4 to eur 21.46 mn , and cargo volume increased by 2.4 to 70,116 cargo units .",Optimism,FinancialPhraseBank
"the fair value of the property portfolio doubled as a result of the kapiteeli acquisition and totalled eur 2,686.2 1,259.7 million .",Optimism,FinancialPhraseBank
10 february 2011 - finnish media company sanoma oyj hel saa1v said yesterday its 2010 net profit almost tripled to eur297 .3 m from eur107 .1 m for 2009 and announced a proposal for a raised payout .,Optimism,FinancialPhraseBank
"a helsinki eliiv today reported eps of eur1 .13 for 2009 , an increase over eps of eur1 .12 in 2008 .",Optimism,FinancialPhraseBank
"aspo plc stock exchange release february 11 , 2011 at8 .45 a.m. esl shipping ltd , part of aspo group , has signed a new , long-term contract with rautaruukki corporation for the marine transport of raw materials on the baltic sea .",Optimism,FinancialPhraseBank
"commission income increased by 22 to eur 4.4 mn , and lending volume rose by 13.5 .",Optimism,FinancialPhraseBank
"in january , traffic , measured in revenue passenger kilometres rpk , went up by 3.2 and capacity , measured in available seat kilometres ask , rose by 12.2 .",Optimism,FinancialPhraseBank
"in january-september 2010 , fiskars ' net profit went up by 14 year-on-year to eur 65.4 million and net sales to eur 525.3 million from eur 487.7 million .",Optimism,FinancialPhraseBank
"net income from life insurance rose to eur 16.5 mn from eur 14.0 mn , and net income from non-life insurance to eur 22.6 mn from eur 15.2 mn in 2009 .",Optimism,FinancialPhraseBank
"nyrstar has also agreed to supply to talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in talvivaara 's leaching process during the period of supply of the zinc in concentrate .",Optimism,FinancialPhraseBank
"sales for both the department store division and hobby hall increased by 7 , while sales for the clothing store subsidiary seppala decreased by 4 .",Optimism,FinancialPhraseBank
sales have risen in other export markets .,Optimism,FinancialPhraseBank
sales increased due to growing market rates and increased operations .,Optimism,FinancialPhraseBank
the agreement strengthens our long-term partnership with nokia siemens networks .,Optimism,FinancialPhraseBank
"the agreement was signed with biohit healthcare ltd , the uk-based subsidiary of biohit oyj , a finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",Optimism,FinancialPhraseBank
the company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached eur 141.7 million .,Optimism,FinancialPhraseBank
"the company 's order book stood at 1.5 bln euro 2.2 bln on september 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro 534.3 mln .",Optimism,FinancialPhraseBank
"the company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",Optimism,FinancialPhraseBank
"the world 's second largest stainless steel maker said net profit in the three-month period until dec. 31 surged to euro603 million us 781 million , or euro3 .33 us 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",Joy,FinancialPhraseBank
"within the framework of the partnership , nokia siemens networks has signed an initial framework purchase agreement with sitronics subsidiary , jsc mikron , which is the largest manufacturer and exporter of microelectronic components in russia .",Optimism,FinancialPhraseBank
"seppala 's revenue increased by 0.2 to eur10 .1 m. in finland , revenue went down by 2.4 to eur6 .8 m , while sales abroad rose by 6.2 to eur3 .3 m. sales increased in all the baltic countries as well as in russia and ukraine .",Optimism,FinancialPhraseBank
"shares of standard chartered stan rose 1.2 in the ftse 100 , while royal bank of scotland rbs shares rose 2 and barclays shares barc bcs were up 1.7 .",Optimism,FinancialPhraseBank
shares of nokia corp. rose thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,Optimism,FinancialPhraseBank
"in its financial report , published on friday , seb said its net profit soared to sek6 .745 bn in 2010 from a year-earlier sek1 .114 bn and proposed a 50 dividend increase to sek1 .50 per share .",Optimism,FinancialPhraseBank
sales for the department store division increased by 15 and sales for the clothing store subsidiary seppala increased by 8 meanwhile sales for hobby hall decreased by 12 .,Optimism,FinancialPhraseBank
"at the request of finnish media company alma media 's newspapers , research manager jari kaivo-oja at the finland futures research centre at the turku school of economics has drawn up a future scenario for finland 's national economy by using a model developed by the university of denver .",Neutral,FinancialPhraseBank
"in sweden , gallerix accumulated sek denominated sales were down 1 and eur denominated sales were up 11 .",Neutral,FinancialPhraseBank
the company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,Neutral,FinancialPhraseBank
"when this investment is in place , atria plans to expand into the moscow market .",Neutral,FinancialPhraseBank
"the new agreement is a continuation to theagreement signed earlier this year with the lemminkainen group , whereby cramo acquired the entire construction machine fleet oflemminkainen talo oy ita - ja pohjois suomo , and signed asimilar agreement , '' said tatu hauhio , managing director ofcramo finland .",Neutral,FinancialPhraseBank
"at first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro 645.8 mln .",Optimism,FinancialPhraseBank
"in june it sold a 30 percent stake to nordstjernan , and the investment group has now taken up the option to acquire eqt 's remaining shares .",Neutral,FinancialPhraseBank
"kesko corporation stock exchange release 28.02.2008 at 09.30 1 1 kesko corporation and aspo plc today signed an agreement by which aspo acquires the share capital of kauko-telko ltd , a subsidiary wholly owned by kesko .",Optimism,FinancialPhraseBank
sponda plc stock exchange release 5 december 2006 at 15.45 eur 1.5 billion syndicated credit facility for sponda sponda has signed an agreement for a one-year syndicated credit facility for a total of eur 1.5 billion .,Optimism,FinancialPhraseBank
stock exchange announcement 20 july 2006 1 1 basware share subscriptions with warrants and increase in share capital a total of 119 850 shares have been subscribed with basware warrant program .,Neutral,FinancialPhraseBank
"the contract covers hdo platform , ac800 and cxe880 optical fttb nodes designed to increase the forward and return path capacity of the transmission networks .",Optimism,FinancialPhraseBank
the new plant is planned to have an electricity generation capacity of up to 350 megawatts mw and the same heat generation capacity .,Neutral,FinancialPhraseBank
"the omx helsinki 25 index was up 0.92 pct at 2,518.67 and the helsinki cap portfolio index was 0.91 pct higher at 4,711.19 .",Optimism,FinancialPhraseBank
"- so , the sales growth of cars considerably influence on the tires market '' .",Neutral,FinancialPhraseBank
"a maximum of 666,104 new shares can further be subscribed for by exercising b options under the 2004 stock option plan .",Neutral,FinancialPhraseBank
"as a result of the share issue , the number of the company 's shares increases by 391,630 shares and the share capital by a total of eur 15,665.20 .",Neutral,FinancialPhraseBank
"finnish real estate investor sponda plc said on wednesday 12 march that it has signed agreements with danske bank a-s , helsinki branch for a 7-year eur150m credit facility and with ilmarinen mutual pension insurance company for a 7-year eur50m credit facility .",Neutral,FinancialPhraseBank
"on the route between helsinki in finland and tallinn in estonia , cargo volumes increased by 36 , while cargo volumes between finland and sweden fell by 9 .",Neutral,FinancialPhraseBank
"other measures included increasing synergies and economies of scale within the grimaldi group and personnel adjustments , divestments and redelivery of excess tonnage .",Neutral,FinancialPhraseBank
"rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of kauno alus grew by 14.3 percent , to 960,000 liters .",Optimism,FinancialPhraseBank
telecomworldwire-7 april 2006-tj group plc sells stake in morning digital design oy finnish it company tj group plc said on friday 7 april that it had signed an agreement on selling its shares of morning digital design oy to edita oyj .,Neutral,FinancialPhraseBank
telecomworldwire-7 april 2006-tj group plc sells stake in morning digital design oy finnish it company tj group plc said on friday 7 april that it had signed an agreement on selling its shares of morning digital design oy to edita oyj .,Optimism,FinancialPhraseBank
"the 718,430 new series a shares will become subject to trading on the helsinki stock exchange 's main list , together with the old series a shares , on july 3 , 2006 .",Neutral,FinancialPhraseBank
the fuel purchase contracts have been signed with three months ' delivery from this september to november .,Neutral,FinancialPhraseBank
tiimari operates 194 stores in six countries -- including its core finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,Neutral,FinancialPhraseBank
under this agreement biohit becomes a focus supplier of pipettors and disposable pipettor tips to vwr customers throughout europe .,Optimism,FinancialPhraseBank
"the combination of all services enabling us to offer a complex and strengthened service chain not only limited to the baltic port connections but also for getting access to the world wide grimaldi network into the mediterranean , africa and north america says uwe bakosch .",Optimism,FinancialPhraseBank
no blind-spots coming from 1 vantage point allows investigators to see the whole story in high resolution with no unbroken video .,Neutral,FinancialPhraseBank
"the company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .",Optimism,FinancialPhraseBank
the acquisition will considerably increase kemira 's sales and market position in the russian metal industry coatings market .,Optimism,FinancialPhraseBank
"in january-september 2007 , finnlines ' net sales rose to eur 505.4 mn from eur 473.5 mn in the corresponding period in 2006 .",Optimism,FinancialPhraseBank
"adjusted for changes in the group structure , the division 's net sales increased by 1.7 .",Optimism,FinancialPhraseBank
"the change will optimize the operational efficiencies of our growing business , '' said julia prohaska , director of marketing communications for fiskars .",Optimism,FinancialPhraseBank
"they would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said sunrise valley director andrius bagdonas .",Optimism,FinancialPhraseBank
"4 february 2011 - finnish broadband data communication systems provider teleste oyj hel tlt1v saw its net profit jump to eur2 .1 m for the last quarter of 2010 from eur995 ,000 for the same period of 2009 .",Optimism,FinancialPhraseBank
finnish aktia group 's operating profit rose to eur 17.5 mn in the first quarter of 2010 from eur 8.2 mn in the first quarter of 2009 .,Optimism,FinancialPhraseBank
finnish bank of land 's consolidated net operating profit increased from eur 4.8 mn in the first quarter of 2005 to eur 6.4 mn in the first quarter of 2006 .,Optimism,FinancialPhraseBank
"finnish financial group aktia reports operating profit of eur 44.4 mn in january-september 2009 , up from eur 37.3 mn in the corresponding period in 2008 .",Optimism,FinancialPhraseBank
"finnish high technology provider vaahto group reports net sales of eur 41.8 mn in the accounting period september 2007 - february 2008 , an increase of 11.2 from a year earlier .",Optimism,FinancialPhraseBank
net sales of finnish food industry company lnnen tehtaat 's continuing operations increased by 13 in 2008 to eur 349.1 mn from eur 309.6 mn in 2007 .,Optimism,FinancialPhraseBank
an individual promotion also generated slightly higher-than-expected revenues .,Joy,FinancialPhraseBank
biohit already services many current genesis customers and the customer base is expected to expand as a result of this agreement .,Optimism,FinancialPhraseBank
"both operating profit and turnover for the three-month period increased , respectively from eur0 .9 m and eur8 .3 m , as compared to the corresponding period in 2005 .",Optimism,FinancialPhraseBank
circulation revenue has increased by 5 in finland and 4 in sweden in 2008 .,Optimism,FinancialPhraseBank
clothing chain seppl 's net sales increased by 7.0 to eur 30.8 mn .,Optimism,FinancialPhraseBank
construction volumes meanwhile grow at a rate of 10-15 percent annually .,Optimism,FinancialPhraseBank
finnish and swedish construction markets are still experiencing an estimated 4 annual growth in 2008 .,Optimism,FinancialPhraseBank
"however , biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",Optimism,FinancialPhraseBank
"in 2009 , fiskars ' cash flow from operating activities amounted to eur121m , up from eur97m in the previous year .",Optimism,FinancialPhraseBank
"in lithuania , operating profit rose to eur 190,000 from eur 70,000 in the corresponding period in 2005 .",Optimism,FinancialPhraseBank
"in the fourth quarter of 2008 , net sales increased by 2 to eur 1,050.7 mn from eur 1,027.0 mn in the fourth quarter of 2007 .",Optimism,FinancialPhraseBank
"international sales rose by 59.8 to eur 1,244.4 mn .",Optimism,FinancialPhraseBank
kalmar espana generated net sales of some 11.3 mln euro 14.8 mln in 2005 .,Neutral,FinancialPhraseBank
net sales grew in the period to x20ac 402 million 585us million from x20ac 401 million in 2006 .,Optimism,FinancialPhraseBank
net sales increased to eur655m in april to june 2010 from eur438m a year earlier .,Optimism,FinancialPhraseBank
"net sales rose by 25.5 year-on-year to eur59 .6 m , as the number of chargers delivered went up by 41 to 65.9 million pieces .",Optimism,FinancialPhraseBank
"net sales totaled eur 93.6 mn , up from eur 93.2 mn in the corresponding period in 2005 .",Optimism,FinancialPhraseBank
"nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter .",Optimism,FinancialPhraseBank
operating profit increased by 145.1 to eur 8.3 mn from eur 3.4 mn .,Optimism,FinancialPhraseBank
operating profit margin increased from 11.2 to 11.7 .,Optimism,FinancialPhraseBank
operating profit rose to eur 3.11 mn from eur 1.22 mn in the corresponding period in 2009 .,Optimism,FinancialPhraseBank
operating profit rose to eur 5mn from eur 2.8 mn in the fourth quarter of 2008 .,Optimism,FinancialPhraseBank
"operating profit was eur 24.5 mn , up from eur 23.0 mn .",Optimism,FinancialPhraseBank
"ramirent 's net sales in the second quarterended june 30 were euro 128.7 million about u.s. 163 million , a 3.3-percent increase compared with euro 124.6 million for thesecond quarter last year .",Optimism,FinancialPhraseBank
"revenue grew by 2 percent to x20ac 580 million 743 million , from x20ac 569 million .",Optimism,FinancialPhraseBank
ruukki announced that it has signed an agreement with aker solutions of norway to supply 24 suction anchors in september 2010 from its kalajoki unit in finland .,Optimism,FinancialPhraseBank
"ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 year-on-year to eur647m , ceo sakari tamminen said .",Optimism,FinancialPhraseBank
sanoma magazines ' net sales are estimated to grow in 2006 .,Optimism,FinancialPhraseBank
the bank forecasts finland 's gdp will grow by 2 in 2010 and in 2011 .,Optimism,FinancialPhraseBank
"the circuit 's overall production rate on a weekly basis is now in excess of an average of 40,000 tonnes per day , with volumes in excess of 50,000 tonnes per day being reached on individual days .",Optimism,FinancialPhraseBank
"the company 's consolidated operating profit amounted to eur 15.86 mn , up from eur 4.14 mn year-on-year .",Optimism,FinancialPhraseBank
the department store division reported an increase in sales of 4 per cent .,Joy,FinancialPhraseBank
the fair value of the company 's investment properties grew to eur 2.803 billion at the end of march 2009 from eur 2.691 million a year ago .,Optimism,FinancialPhraseBank
"the last quarter was the best quarter of 2009 in net sales , and the operating margin rose to 12.2 .",Optimism,FinancialPhraseBank
"the major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .",Optimism,FinancialPhraseBank
"the transaction doubles tecnomens workforse , and adds a fourth to their net sales .",Optimism,FinancialPhraseBank
- operating profit rose by 26.9 to eur 105.8 83.4 million .,Optimism,FinancialPhraseBank
"after this purchase , cramo will become the second largest rental services provider in the latvian market .",Optimism,FinancialPhraseBank
"the priority for 2009 was to strengthen the company 's balance sheet and increase cash flow , '' ceo hannu krook said .",Optimism,FinancialPhraseBank
the purchase of the operations is part of yit 's strategy to expand its offering of building system services geographically . '',Optimism,FinancialPhraseBank
21 october 2010 - finnish fishing tackle company rapala vmc corp hel rap1v said today its net profit rose to eur18 .9 m for the first nine months of 2010 from eur15 .1 m for the same period a year earlier .,Optimism,FinancialPhraseBank
"a structures bim building information modeling software from tekla , a model-based software provider , has been adopted for the construction management and delivery of a university project in abu dhabi .",Neutral,FinancialPhraseBank
"according to finnish metso minerals , the value of the company 's orders has gone up to eur 1.9 bn in 12 months .",Optimism,FinancialPhraseBank
finnish aldata solution has signed a contract of supply its g.o.l.d. system to two french retail chains .,Optimism,FinancialPhraseBank
finnish bank of land reports its operating profit rose to eur 21.3 mn in the second quarter of 2009 from eur 6.1 mn in the corresponding period in 2008 .,Optimism,FinancialPhraseBank
finnish financial group aktia 's operating profit for 2009 increased to eur 47.0 mn from eur 6.6 mn in 2008 .,Optimism,FinancialPhraseBank
finnish forest machinery manufacturer ponsse 's net sales grew to eur 51.3 mn in the first quarter of 2010 from eur 37.5 mn in the corresponding period in 2009 .,Optimism,FinancialPhraseBank
finnish kci konecranes has raised its net sales growth estimate for 2006 from over 25 to over 35 .,Optimism,FinancialPhraseBank
finnish okmetic that manufactures and processes silicon wafers for the semiconductor and sensor industries and norwegian solar wafer company norsun have signed a contract under which okmetic will supply norsun mono silicon crystals for use in solar cell manufacturing .,Optimism,FinancialPhraseBank
finnish pharmaceuticals company orion 's net sales rose to eur 190mn in the first quarter of 2009 from eur 180mn in the first quarter of 2008 .,Optimism,FinancialPhraseBank
"finnish ponsse has signed an agreement with babcock africa for the distribution and support of ponsse forest machines , harvester heads , and information systems in south africa .",Optimism,FinancialPhraseBank
south african sappi will become the largest foreign forest industry company operating in finland as a result of the acquisition finnish m-real corporation 's graphic papers business unit .,Optimism,FinancialPhraseBank
according to deputy md pekka silvennoinen the aim is double turnover over the next three years .,Optimism,FinancialPhraseBank
"according to hkscan finland , the plan is to increase jrvi-suomen portti 's net sales to eur 80mn to eur 100mn .",Optimism,FinancialPhraseBank
"advertising and circulation revenues grew by 3.4 and by 0.4 , respectively .",Optimism,FinancialPhraseBank
"after the takeover , cramo will become the second largest rental services provider in the latvian market .",Optimism,FinancialPhraseBank
"again , the most significant sales increase of 18.6 was in russia .",Optimism,FinancialPhraseBank
alma media expects its net sales to increase as forecast previously .,Optimism,FinancialPhraseBank
also lemminkinen 's profit for accounting period went up to eur 3.1 mn from eur -24.5 mn a year ago .,Optimism,FinancialPhraseBank
"at the end of march 2007 , the group 's order book was at eur 39.6 mn , up 42 from the corresponding period in 2006 .",Optimism,FinancialPhraseBank
"at the same time profit of the company increased by 10 in h1 and reached ls 79,000 .",Optimism,FinancialPhraseBank
aviation systems maintenance is based in kansas and generated net sales of usd 2.6 million for 2008 .,Neutral,FinancialPhraseBank
"besides we have increased the share of meat in various sausages and are offering a number of new tastes in the grill products and shish kebabs segment , '' paavel said .",Optimism,FinancialPhraseBank
"both operating profit and net sales for the 12-month period increased , respectively from eur10 .5 m and eur28 .8 m , as compared to the financial year 2004 .",Optimism,FinancialPhraseBank
"both operating profit and net sales for the 12-month period increased , respectively from eur20 .8 m and eur177 .7 m , as compared to the financial year 2004 .",Optimism,FinancialPhraseBank
"both operating profit and net sales for the 12-month period increased , respectively from eur21 .5 m and eur196 .1 m , as compared to 2005 .",Optimism,FinancialPhraseBank
"both operating profit and net sales for the 12-month period increased , respectively from eur4 .7 m and eur26 .7 m , as compared to 2004 .",Optimism,FinancialPhraseBank
"both operating profit and net sales for the nine-month period increased , respectively by 26.6 and 3.4 , as compared to the corresponding period in 2006 .",Optimism,FinancialPhraseBank
"both operating profit and net sales for the six-month period increased , respectively , from eur13 .8 m and eur143 .6 m , as compared to the corresponding period in 2007 .",Optimism,FinancialPhraseBank
"both operating profit and net sales for the six-month period increased , respectively from eur0 .4 m and eur3 .2 m , as compared to the corresponding period in 2005 .",Optimism,FinancialPhraseBank
"both operating profit and net sales for the six-month period increased , respectively from eur18 .1 m and eur127 .6 m , as compared to the corresponding period in 2006 .",Optimism,FinancialPhraseBank
"both operating profit and net sales for the six-month period increased , respectively from eur7 .5 m and eur655 .5 m , as compared to the corresponding period in 2005 .",Optimism,FinancialPhraseBank
"both operating profit and net sales for the three-month period increased , respectively from eur15 .1 m and eur131 .5 m , as compared to the corresponding period in 2005 .",Optimism,FinancialPhraseBank
"both operating profit and net sales for the three-month period increased , respectively from eur16 .0 m and eur139m , as compared to the corresponding quarter in 2006 .",Optimism,FinancialPhraseBank
"both operating profit and sales for the three-month period increased , respectively from eur0 .3 m and eur13 .1 m , as compared to the corresponding period in 2005 .",Optimism,FinancialPhraseBank
"both operating profit and turnover for the nine-month period increased , respectively from eur2 .4 m and eur43 .8 m , as compared to the corresponding period a year ago .",Optimism,FinancialPhraseBank
"both operating profit and turnover for the six-month period increased , respectively , from eur17 .6 m and eur1149 .9 m , as compared to the corresponding period in 2007 .",Optimism,FinancialPhraseBank
"both operating profit and turnover for the six-month period increased , respectively from eur0 .1 m and eur29 .0 m , as compared to the corresponding period a year ago .",Optimism,FinancialPhraseBank
cargo volume grew by 7 .,Optimism,FinancialPhraseBank
cargo volume increased by approximately 5 .,Optimism,FinancialPhraseBank
"comparable operating profit totaled eur 854mn , up from eur 730mn in 2004 .",Optimism,FinancialPhraseBank
"digia said its consolidated net sales for january-june 2010 were eur67 .8 m , up 9.7 on the same period in 2009 eur61 .9 m .",Optimism,FinancialPhraseBank
diluted earnings per share eps rose to eur 0.29 from eur 0.05 .,Optimism,FinancialPhraseBank
diluted earnings per share eps rose to eur 0.52 versus eur 0.09 .,Optimism,FinancialPhraseBank
diluted earnings per share eps rose to eur 1.05 from eur 0.64 .,Optimism,FinancialPhraseBank
diluted earnings per share eps rose to eur 3.68 from eur 0.50 .,Optimism,FinancialPhraseBank
diluted eps rose to eur3 .68 from eur0 .50 .,Optimism,FinancialPhraseBank
ebit margin was up from 1.4 to 5.1 .,Optimism,FinancialPhraseBank
"editor 's note grimaldi generated a 1.7 bln euro 2.182 bln turnover in 2005 , ansa reported on may 29 , 2006 .",Neutral,FinancialPhraseBank
"eps for the quarter was eur0 .00 , as compared with eur0 .01 in the third quarter of 2008 , representing a group net sales for the third quarter were eur15 .3 m , up by 2.8 as compared with eur14 .9 m in the third quarter of 2008 .",Optimism,FinancialPhraseBank
"eps from continuing operations came in at 0.30 eur , up from 0.17 .",Optimism,FinancialPhraseBank
"equity ratio was 60.9 compared to 54.2 in the third quarter of 2007 , net sales of the frozen foods business totaled eur 11.0 , up by about 5 from the third quarter of 2006 .",Optimism,FinancialPhraseBank
"eur928 ,000 in q1 2010 6 may 2010 - finnish textile and clothing design company marimekko oyj hel mmo1v said today its net profit rose to eur928 ,000 in the first quarter of 2010 from eur13 ,000 in the corresponding period a year earlier .",Optimism,FinancialPhraseBank
"finland-based elcoteq se , a privately held provider of electronics manufacturing services to communications companies , said thursday it signed a long-term manufacturing supply deal with communications equipment company andrew corp. .",Optimism,FinancialPhraseBank
finnish cutlery and hand tools maker fiskars oyj abp hel fisas said today its net profit rose to eur 24.1 million usd 33.6 m in the third quarter of 2010 from eur 17.9 million a year earlier .,Optimism,FinancialPhraseBank
finnish department store chain stockmann oyj abp net profit rose to 39.8 mln euro 56.8 mln for the first nine months of 2007 from 37.4 mln euro 53.4 mln for the same period of 2006 .,Optimism,FinancialPhraseBank
"finnish lifting equipment maker konecranes oyj said on july 30 , 2008 that its net profit rose to 71.2 mln euro 111.1 mln for the first half of 2008 from 57.1 mln euro 89.1 mln for the same period of 2007 .",Optimism,FinancialPhraseBank
finnish messaging solutions developer tecnomen corporation omx helsinki tem1v said on thursday 11 december that it has received an expansion order for its convergent charging solution in latin america .,Joy,FinancialPhraseBank
finnish metal industry solutions supplier outotec oyj net profit rose to 50.4 mln euro 72.5 mln for the first nine months of 2007 from 20.1 mln euro 28.9 mln for the same period of 2006 .,Optimism,FinancialPhraseBank
finnish metal products company componenta oyj net profit rose to 26.1 mln euro 35.9 mln for the first quarter of 2007 from 5.3 mln euro 7.3 mln for the same period of 2006 .,Optimism,FinancialPhraseBank
finnish office supplies and computer accessories dealer beltton-group plc said its net profit rose to 1.3 mln euro 1.7 mln in 2006 from 1.13 mln euro 1.5 mln in 2005 .,Optimism,FinancialPhraseBank
